id,course
92,Vật liệu học nâng cao
93,Đồ án nghề nghiệp/ tốt nghiệp
94,Quản lý và lãnh đạo
95,Thực hành công nghệ cơ khí
96,Vật liệu học nâng cao
97,Thực hành bản vẽ kỹ thuật
98,Tiếng anh giao tiếp 2
99,Thực hành kỹ thuật chế tạo
100,"Nguyên lý và qui trình chế tạo
"
101,Kỹ thuật cơ sở 2
102,Thực hành thiết kế chi tiết trên máy tính 1
103,Tiếng anh giao tiếp 3
104,Pháp luật
105,"Hệ thống quản lý chất lượng  (ISO)
"
106,"Phân  tích  bản vẽ chế tạo thiết bị cơ khí
"
107,Kỹ thuật cơ bản
108,Nguyên lý chi tiết máy
109,Thực hành dự án kỹ thuật
110,Vật liệu và qui trình
111,"Tiếng Anh chuyên ngành cơ khí
"
112,Quản lý và chế tạo nâng cao
113,Thực hành thiết kế chi tiết trên máy tính 2
114,Kỹ thuật thiết bị và qui trình bảo trì
115,Thực hành Kỹ thuật thiết bị và qui trình bảo trì
116,Giáo dục thể chất
117,"Chính trị 
"
118,"Giáo dục quốc phòng
"
119,Thực hành kỹ thuật chế tạo nâng cao
120,"Chế tạo, kiểm soát qui trình và quản lý chất lượng bồn áp lực"
121,"Chế tạo, kiểm soát qui trình và quản lý chất lượng kết cấu thép"
122,"Chế tạo, kiểm soát qui trình và quản lý chất lượng hệ thống thông gió
"
123,"Giải quyết vấn đề kỹ thuật 

"
124,Đồ án tốt nghiệp
125,Cơ học vật rắn
126,Cơ lưu chất và nhiệt động lực học kỹ thuật
127,Công nghệ gia công kim loại
128,Công nghệ hàn và thực hành
129,Đảm bảo chất lượng và kiểm tra chất lượng mối hàn
130,Đồ án kỹ thuật
131,Động lực học hệ thống máy
132,Khai triển chi tiết cơ khí
133,Kỹ thuật an toàn
134,Kỹ thuật vật liệu
135,Tiếng Anh chuyên ngành sơ khí
136,Mô hình hoá thiết kế mỹ thuật
137,Nguyên lý chế tạo
138,Nguyên lý cơ học kỹ thuật
139,Nguyên lý điện ứng dụng trong kỹ thuật cơ khí
140,Nguyên lý kỹ thuật
141,Nhiệt động học ứng dụng
142,Cơ lưu chất
143,Quy trình chế tạo chi tiết cơ khí
144,Thiết kế CAD cho sản xuất
145,Thiết kế kỹ thuật
146,Thực hành kỹ thuật thiết bi và quy trình bảo trì
147,Tiếng Anh chuyên ngành cơ khí
148,Tổ chức và quản lý hoạt động kỹ thuật
149,Toán kỹ thuật
150,Toán kỹ thuật nâng cao
151,Toán và khoa học nâng cao
152,Vật liệu ứng dụng kỹ thuật
153,Kỹ thuật  an toàn
154,Nguyên lý kỹ thuật
155,Khai triển chi tiết cơ khí
156,Tổ chức và quản lý hoạt động kỹ thuật
157,Nguyên lý chế tạo
158,"Tiện, phay, mài cơ bản"
159,Khoa học toán nâng cao
160,Toán kỹ thuật
161,Lập kế hoạch và quản lý dự án kỹ thuật
162,Kỹ thuật thiết bị và quy trình bảo trì
163,Kỹ thuật điện ứng dụng trong cơ khí
164,Tiếng Anh chuyên ngành cơ khí
165,Thiết kế chi tiết cho sản xuất
166,Thiết kế kỹ thuật
167,Nguyên lý chi tiết máy
168,Công nghệ CAD/ CAM/CNC
169,Cơ lưu chất và nhiệt động học kỹ thuật
170,Công nghệ gia công kim loại
